,Bankrekening,Consumentenkrediet,Creditcard,Hypotheek,Incasso,Kredietregistratie
bunch,4,2,5,10,4,5
concert,1,0,2,1,0,0
insists,2,2,2,2,4,2
spending,12,1,114,15,6,5
eligibility,17,2,5,24,1,2
marketing,6,0,27,15,4,13
traveling,6,0,6,4,3,0
shut,17,10,20,23,21,8
exceeding,3,1,5,2,1,0
lapsed,1,2,1,7,4,0
extend,3,8,9,33,12,9
persuaded,1,1,1,1,0,0
imposes,1,0,1,1,0,0
exceeds,3,2,1,6,4,2
challenged,4,0,1,6,7,5
misled,14,6,8,18,2,2
prompt,3,2,6,11,4,21
nt,1,0,0,5,4,0
language,9,2,14,36,24,8
rephrase,1,0,0,0,0,0
kindly,7,1,4,4,7,11
pain,2,4,0,12,3,4
decently,1,0,0,0,0,0
xxxxavailable,1,0,0,0,0,0
xxxxhold,1,0,0,0,0,0
deposittotal,1,0,0,0,0,0
xxxxfunds,1,0,0,0,0,0
xxxxreason,1,0,0,0,0,0
inthe,1,0,1,0,0,0
backed,4,2,1,32,5,3
homeless,4,1,2,40,5,9
payoff,7,96,38,308,27,6
motorcycle,1,3,8,0,1,2
incentive,5,4,5,46,1,0
instrument,10,0,2,24,11,12
consenting,1,0,1,0,0,1
indentifying,1,0,0,1,0,0
fiananal,1,0,0,0,0,0
na,4,13,9,20,17,2
publicly,2,0,3,5,2,1
rounting,1,0,0,0,0,0
performing,3,1,1,11,3,4
silence,6,0,5,3,3,1
remains,6,3,12,19,28,50
proceedure,1,0,0,0,0,0
askes,1,0,0,0,0,0
referencing,3,0,1,11,6,4
revocable,1,0,0,1,0,0
verbal,18,8,14,35,35,13
listing,6,2,8,38,25,61
inciates,1,0,0,0,0,0
reponse,1,0,1,2,0,2
confidentuality,1,0,0,0,0,0
terminates,1,0,0,0,2,0
belonging,5,2,5,14,12,25
confers,1,0,0,0,0,0
imposer,1,0,0,0,0,0
forgey,1,0,0,0,0,0
bother,5,1,6,14,5,7
fiananical,1,0,0,0,0,0
tuff,1,0,0,0,0,0
ggod,1,0,0,0,0,0
infinacial,1,0,0,0,0,0
instution,1,0,0,0,0,0
busniess,1,0,0,0,0,0
physically,8,1,3,13,5,6
handel,1,0,0,0,0,0
presentation,3,2,5,0,0,1
instrutment,2,0,0,0,0,0
tranasaction,1,0,0,0,0,0
discrission,1,0,0,0,0,0
choose,13,5,23,22,8,7
competiators,1,0,0,0,0,0
superceeds,1,0,0,0,0,0
finacial,2,2,0,1,1,0
unnamed,2,0,0,0,1,0
preform,1,0,0,0,0,0
guarentee,1,0,1,0,0,0
ilegal,1,0,0,0,2,0
witholding,3,0,0,2,0,0
fullfillment,1,0,0,0,0,0
imposition,1,0,2,0,3,0
arrange,3,2,2,7,7,1
carefully,3,2,9,9,4,2
stable,1,2,7,6,2,0
advising,7,7,6,45,24,8
unclaimed,14,0,2,1,0,0
essence,4,1,6,17,7,6
handed,7,1,14,11,11,2
chairman,4,0,2,6,0,0
ceo,7,3,17,23,6,5
rebate,1,2,3,3,4,0
redress,1,0,0,0,0,0
achieving,1,0,1,1,1,1
depending,7,3,8,6,8,4
busy,11,7,9,13,13,4
table,1,2,2,14,3,2
clock,1,1,1,5,7,2
est,15,0,5,6,11,1
horrendous,2,0,2,3,0,1
ton,2,0,4,14,6,2
unthinkable,1,0,0,0,1,0
sufficed,1,0,0,0,1,0
reissued,3,0,5,2,0,3
headquarters,6,3,5,7,4,4
fashion,10,2,10,19,5,7
maximizing,2,0,0,2,0,0
approving,4,0,4,12,0,4
extent,4,0,3,8,5,7
unconscionable,2,0,1,7,5,1
entrapping,1,0,0,0,0,0
relief,6,15,10,68,14,19
underneath,1,1,2,2,0,0
egregious,4,0,1,5,2,4
litigation,1,4,5,37,35,33
adhesion,1,0,1,0,1,0
shark,1,4,0,2,1,0
cheaper,2,1,0,6,0,3
dangerous,2,1,1,2,3,0
bound,4,0,2,7,2,5
voluntary,2,4,0,2,5,4
highway,1,2,3,1,0,1
rely,6,1,6,5,4,3
typing,3,0,1,1,0,1
fulfilling,4,1,4,5,0,2
indicates,4,4,12,25,19,18
malicious,4,2,1,6,11,3
alerting,3,2,2,5,1,1
unknowing,2,0,0,2,0,0
electric,2,3,0,4,13,2
humiliation,3,0,0,1,1,0
unpaid,11,19,28,62,95,26
faced,6,3,2,12,5,4
nonpayment,1,1,2,2,5,2
harm,5,4,10,20,19,22
nearest,13,2,3,4,3,1
wasted,6,6,10,17,3,5
opted,10,8,12,15,2,6
override,7,0,1,1,0,0
indicate,7,4,8,27,34,18
substantive,5,0,1,3,1,0
annually,1,1,3,13,3,3
focused,3,1,1,3,1,1
consequence,4,2,12,23,8,4
suffered,7,6,7,35,13,19
decide,9,2,6,17,3,4
secretly,1,0,0,1,0,0
retail,4,3,11,3,5,9
rejecting,1,0,5,6,0,0
corresponded,2,0,2,4,1,0
tech,7,0,7,12,7,4
discern,1,1,0,1,0,0
georgia,7,2,1,14,21,9
confusion,4,4,7,17,3,2
conspicuously,1,0,0,1,0,1
absent,3,1,0,2,0,6
central,4,2,3,10,87,0
gaining,1,0,1,3,2,2
enclosed,10,9,16,44,51,33
sleeve,2,0,0,0,0,0
differed,1,0,0,0,0,0
midst,2,2,1,3,3,2
meter,2,0,4,0,2,0
painstakingly,2,0,0,1,0,0
landline,2,1,2,2,6,3
notated,1,4,0,1,4,4
politely,1,2,2,2,5,1
belligerently,1,0,0,0,0,0
surely,4,2,4,6,1,1
satisfactorily,3,0,1,1,1,2
unblocked,1,0,1,1,1,0
west,13,4,5,22,26,2
nc,15,1,3,20,18,14
consist,1,0,0,3,0,3
bullet,1,0,0,1,1,0
tray,1,0,0,0,0,0
initialing,1,0,0,0,0,0
push,8,5,4,16,2,1
fell,8,18,14,97,16,7
walking,3,1,4,9,0,0
potential,12,10,11,30,32,22
attitude,13,2,1,18,13,1
prejudge,1,0,0,0,0,0
fly,3,2,8,1,1,1
increase,17,14,88,249,23,25
incldues,1,0,0,0,0,0
accident,11,31,7,16,29,9
recovering,2,0,3,5,3,0
whereabouts,3,1,2,2,8,0
geolocation,1,0,0,0,0,0
demonstrating,2,2,0,0,2,3
viewed,2,3,0,7,6,11
aggressive,4,7,3,10,32,1
deplete,1,0,0,2,0,0
xxxxto,1,1,2,2,1,2
xxxxbank,2,0,0,2,0,2
xxxxafter,2,0,0,1,0,0
enterprise,7,0,3,4,11,2
supporting,11,5,21,54,35,67
overseas,4,2,5,6,1,4
exhibit,14,0,18,56,56,18
tracking,14,1,17,72,13,22
americamy,1,0,0,0,0,0
hospital,4,6,6,17,241,46
selling,7,9,8,81,24,14
furniture,2,11,32,6,11,3
fixture,1,0,0,0,0,0
proceeding,13,5,4,121,67,5
honorable,3,0,1,4,1,0
respectable,1,0,2,0,0,0
survive,7,3,2,4,5,2
useable,1,0,1,0,0,0
urgently,2,0,2,1,0,0
college,13,8,8,8,40,15
deeply,3,1,2,3,4,0
puzzled,1,0,1,1,0,1
sincere,1,0,0,1,1,2
hacker,7,0,3,1,0,1
posing,2,0,2,2,2,0
broke,4,4,1,19,16,9
hacked,14,3,9,0,2,5
posed,1,0,0,1,1,1
drained,4,0,0,3,1,0
assaulted,1,0,0,1,0,0
gunpoint,1,0,0,0,0,0
apprehended,1,0,0,0,0,0
ensue,1,0,1,0,0,0
scrutiny,1,1,0,2,1,1
afforded,2,4,1,2,4,3
crime,24,0,7,25,18,7
seriously,11,5,16,21,10,20
maintains,2,2,0,2,1,1
create,16,4,15,29,9,10
whose,4,2,8,25,12,3
mule,1,0,0,0,0,0
perpetrator,5,1,1,1,0,1
controlling,1,1,0,3,0,1
defined,9,0,4,11,5,6
ala,1,0,0,0,0,0
setting,5,8,16,11,6,0
ailing,1,0,0,1,0,0
compromise,4,0,4,6,0,3
convenience,7,5,5,6,0,7
vaporized,1,0,0,0,0,0
routine,3,0,3,5,1,1
cyber,1,0,2,1,3,0
comerica,31,0,0,2,0,0
exhaust,1,2,2,0,0,2
gentlelady,1,0,0,0,0,0
eastern,3,0,4,2,9,1
board,6,0,3,26,12,3
postal,7,0,6,21,8,12
operates,2,2,3,3,6,0
quailty,1,0,0,0,0,0
ran,11,18,23,34,9,23
resort,2,0,5,1,6,10
respectfully,6,1,7,22,10,15
cfpa,1,0,0,1,5,0
earliest,1,0,2,5,2,2
compel,1,0,2,3,2,1
entity,12,4,7,67,47,28
mastercard,6,0,42,0,3,0
thanking,2,2,2,3,2,6
refinanced,5,12,4,140,7,1
borrower,1,19,3,381,11,3
vigorously,1,0,0,0,2,1
reinstated,4,5,12,12,0,6
discontinuing,1,0,3,1,1,0
sixty,3,0,1,2,0,0
comparable,1,1,0,14,0,1
teenage,1,0,0,1,0,0
steering,1,1,0,2,0,0
acted,5,3,10,28,17,2
classic,2,1,3,6,0,1
trickled,1,0,0,0,0,0
pretend,2,0,1,4,3,1
slapping,1,0,1,0,0,0
seize,1,0,0,1,11,0
aggravation,2,0,3,10,1,2
mental,5,3,1,9,3,0
torture,2,0,0,1,1,0
licence,1,2,0,1,2,3
justly,1,0,0,0,0,0
advertisement,2,2,18,12,3,6
restitution,2,1,2,5,6,4
software,9,1,11,5,5,5
breached,2,2,8,5,8,1
confidentiality,1,1,0,1,1,3
audited,1,0,3,4,0,1
comply,11,9,11,59,25,62
quickpay,12,0,0,0,0,0
exercised,1,0,0,4,1,1
eft,6,2,1,7,2,1
xxxxat,1,0,1,0,0,0
lacked,1,1,0,4,1,0
funded,4,13,0,16,2,1
disclosing,2,5,6,7,13,4
capitalizing,1,1,0,1,0,0
incapable,1,0,0,5,0,3
systemic,2,0,1,0,1,3
utilizing,4,0,4,9,5,7
expiration,8,5,22,12,6,4
tooken,1,1,0,0,0,0
shopping,11,3,13,9,1,7
spree,1,1,1,0,0,0
bee,3,1,1,1,0,1
lesson,3,0,1,1,1,1
negligence,7,5,12,51,6,18
allowance,4,1,1,2,2,2
apparent,7,3,7,14,6,7
handicapped,1,0,0,0,0,0
schedule,16,19,31,102,16,9
relayed,2,0,1,7,5,1
illegality,1,0,0,1,0,0
zombie,1,0,0,6,3,2
levied,3,0,6,3,16,1
whomever,2,2,1,3,1,2
workday,1,0,0,0,1,0
remainder,5,11,7,9,10,5
disputing,8,11,45,26,124,177
trend,3,2,1,0,1,1
normally,3,1,4,16,5,4
shopped,2,1,2,3,0,6
surveillance,6,0,0,0,0,0
matching,3,1,2,1,1,4
compare,4,0,1,7,2,4
affiliate,2,1,6,12,17,6
victimized,4,0,3,7,2,3
reaching,7,5,16,15,10,4
extreme,7,9,4,16,6,4
anxiety,1,1,0,4,1,1
violate,2,3,6,13,22,11
alerted,6,4,5,9,6,5
proactive,2,1,2,7,0,0
belong,10,4,8,12,74,182
random,6,0,5,11,8,0
deficiency,3,12,3,34,5,5
tact,1,0,0,4,1,0
unjustly,2,0,5,0,5,1
investment,44,2,4,56,8,2
grew,4,0,1,7,3,2
advisor,14,1,2,8,7,1
grown,2,0,2,6,2,1
worrying,3,1,0,0,1,0
die,2,0,1,5,2,0
birthday,2,1,7,2,5,5
pressured,1,2,1,2,1,1
portfolio,5,4,4,93,198,4
kick,1,2,3,6,2,1
surrender,2,11,0,3,2,8
taxable,1,1,0,0,0,1
sloppy,2,1,1,2,0,8
purse,6,0,3,0,5,6
usually,16,6,9,26,14,6
culprit,5,0,1,0,2,3
securing,3,4,2,5,5,2
vermont,4,1,0,1,0,0
block,24,5,12,11,25,74
across,8,3,13,20,14,2
slowly,4,0,0,1,3,6
lucrative,2,0,3,0,1,0
alive,1,1,0,3,4,2
competent,2,1,6,14,18,16
pour,2,0,0,0,0,0
headed,1,1,0,1,0,0
unnecessarily,1,1,2,10,3,2
photocopy,1,0,2,3,1,4
delivering,5,0,3,1,4,1
vt,1,1,0,2,1,0
moire,1,0,0,0,0,0
apology,15,3,7,13,2,6
partially,5,0,7,6,4,6
shifted,1,0,1,3,0,4
domineering,1,0,0,0,0,0
clingy,1,0,0,0,0,0
disparaging,1,0,0,0,0,0
remark,1,7,11,13,42,53
activy,1,0,0,0,0,0
pretended,1,0,1,3,3,1
wedding,2,0,6,0,0,0
probed,1,0,1,0,0,0
combination,3,1,1,3,1,2
g,2,6,12,27,51,24
ofdi,1,0,0,0,0,0
chain,2,6,5,26,6,1
smoothed,1,0,0,1,0,0
tennessee,7,2,0,12,6,1
troublesome,1,0,1,1,0,0
prosecuted,2,0,0,2,5,0
roth,2,0,0,0,0,0
crowded,1,0,0,0,0,0
mm,1,0,1,0,1,0
selection,1,0,1,1,2,1
accountant,4,0,2,6,6,2
employet,1,0,0,0,0,0
ive,7,2,4,13,18,23
faxing,4,1,5,10,4,3
amazon,2,1,66,0,14,0
dysfunctional,1,0,0,4,0,0
guess,10,7,8,31,14,10
assert,2,0,2,2,3,3
stepdaughter,2,0,0,1,0,0
forgery,5,0,4,6,6,0
encouragement,1,0,0,1,0,0
timing,1,1,7,13,0,2
peace,2,3,0,4,5,0
instiutions,1,0,0,0,0,0
careless,1,1,1,1,1,3
elapsed,3,1,4,2,2,2
controller,5,0,0,3,0,0
volume,3,0,6,5,2,1
downgrade,2,0,3,1,0,0
aa,2,1,3,0,1,0
promo,14,0,24,0,2,0
award,5,1,26,12,1,0
canceling,3,0,5,10,5,6
undisclosed,4,2,4,6,1,1
wishing,2,0,0,1,0,1
modify,2,4,3,126,3,6
improbable,1,0,1,0,0,0
renewal,12,2,19,23,12,2
cancelation,2,2,5,6,1,0
sated,1,0,0,0,0,0
rgions,1,0,0,0,0,0
renew,5,1,14,9,7,1
reacurring,1,0,0,0,0,0
capitol,2,7,45,2,6,0
submission,10,4,10,38,7,10
im,18,30,13,33,32,31
perpetraitor,1,0,0,0,0,0
theyve,2,0,0,0,1,0
thats,11,8,6,14,15,12
nof,1,0,0,0,0,0
persist,1,2,0,0,3,0
commiting,1,0,0,0,0,0
judicial,1,0,0,21,23,3
acquiescence,1,0,1,0,0,0
guilt,1,0,0,3,0,0
worker,14,6,2,8,29,5
provides,11,5,17,23,12,11
expenditure,2,0,3,5,0,0
purposefully,2,0,2,9,3,3
exclude,1,1,3,3,0,2
monitoring,8,5,11,7,26,78
built,1,1,6,20,1,2
expressly,4,4,1,2,8,0
purport,2,0,0,2,16,5
inclusion,1,0,1,3,0,3
omitted,2,2,3,6,2,1
omitting,1,0,0,1,0,0
institutional,1,0,1,0,0,1
ate,4,1,0,2,2,0
god,1,1,1,5,0,1
sake,1,0,1,8,1,1
lled,1,0,0,0,0,0
hey,1,1,1,0,2,2
indemnity,1,0,0,1,0,1
busi,1,0,0,0,0,0
ness,1,0,0,0,0,0
pose,2,0,0,0,0,0
outline,1,0,2,6,0,2
lastly,6,1,0,12,4,8
uploaded,5,3,1,32,5,36
dent,1,1,1,1,1,0
midwest,2,1,0,1,31,0
deaf,1,0,3,9,5,0
ear,1,0,3,10,5,1
kicking,1,0,1,1,0,0
shipped,6,2,19,1,4,3
ring,2,6,6,3,15,2
hang,6,8,8,22,68,14
acknowledges,3,0,3,7,6,3
recollection,1,0,2,3,8,1
retrospect,1,1,0,1,0,0
restated,1,0,2,4,2,0
closest,6,2,4,1,3,0
reviewing,10,15,18,72,33,24
oak,1,0,0,0,0,0
bluff,1,0,0,0,0,0
election,5,1,0,9,7,1
proximity,2,0,0,0,0,0
marked,6,12,16,36,22,14
researching,3,3,4,14,8,2
researched,6,3,1,25,14,10
seemed,14,11,28,53,13,7
disappear,3,0,1,2,0,3
defaulted,2,8,5,22,34,12
untreated,1,0,0,0,0,0
ruined,5,6,12,26,9,12
shamble,1,0,0,5,0,0
deteriorating,1,0,0,4,1,0
complacent,1,0,1,0,0,2
commending,1,0,0,1,0,0
convicted,3,0,0,7,0,4
solicitation,6,3,19,12,1,0
campaign,1,1,0,0,1,0
baiting,1,0,1,0,0,0
desirable,2,0,1,4,0,0
trusted,9,2,6,19,3,3
tricked,4,1,3,1,3,3
reconsider,3,0,6,6,0,0
colleague,4,0,2,1,4,1
unpleasant,1,1,1,5,1,0
intolerable,1,0,0,1,0,0
discretion,3,4,3,4,0,1
neccessary,1,0,0,0,2,0
az,6,8,7,16,8,0
mark,5,22,23,27,70,79
tues,4,0,2,2,0,0
mon,5,0,1,3,1,0
overnight,10,4,6,41,3,1
privilege,4,0,5,1,3,0
mad,1,2,2,8,4,2
fresh,2,2,0,7,2,7
quantity,1,0,0,0,0,0
canned,1,0,0,3,1,1
snack,1,0,0,0,0,0
hurricane,1,2,2,11,0,2
cpaitalone,1,0,0,0,0,0
io,3,0,0,1,0,0
capitalone,3,0,33,9,0,0
perhaps,10,6,11,30,10,8
receives,4,1,4,17,5,5
tall,1,0,0,0,0,0
insuffient,1,0,0,0,0,0
madamthursdays,1,0,0,0,0,0
wee,2,0,0,0,0,0
compelled,2,0,2,5,0,0
chore,1,0,0,0,0,0
substract,1,0,0,0,0,0
recommendation,3,0,5,5,1,3
slot,2,0,0,0,0,0
rail,1,0,0,1,0,0
contribution,2,0,0,5,0,0
yearly,2,0,5,22,3,9
apologizing,2,1,3,2,0,2
indiana,4,2,0,8,24,1
externally,1,0,2,0,0,0
upload,2,2,1,20,4,25
mishandling,6,0,1,10,2,4
addendum,1,1,1,25,5,1
bow,2,0,0,5,1,0
troubling,1,1,8,2,3,1
unilaterally,2,1,4,5,0,5
declaring,1,0,1,4,2,0
ignore,7,3,5,32,27,12
guarantee,8,6,9,29,11,3
estimation,1,1,0,4,1,1
sided,2,0,5,3,1,1
contractual,2,2,4,8,51,15
calculated,2,8,10,59,11,5
remitted,1,3,0,4,1,0
contrary,3,1,11,7,11,8
retain,4,1,3,10,11,9
remit,3,2,0,2,9,0
ftp,1,0,0,0,0,0
remitting,1,0,0,0,0,0
transmit,1,0,1,2,1,0
revenue,8,0,6,8,36,8
ass,1,0,0,0,0,0
perusing,1,0,1,0,0,1
tonight,1,0,5,9,8,0
earning,2,1,11,7,2,1
comparing,1,0,1,2,0,3
elected,4,1,3,10,2,4
hide,8,2,1,8,7,4
outraged,3,0,0,1,2,2
intermediately,1,0,0,0,0,0
appliance,1,0,3,10,9,1
anticipation,3,1,0,2,1,1
project,4,0,12,19,1,0
patiently,3,0,3,3,0,2
sender,11,0,0,2,4,1
fedex,7,0,2,3,0,0
female,3,11,3,12,16,1
unopened,1,0,1,1,6,2
pickup,3,2,1,0,0,0
coincide,2,0,1,3,0,1
walmart,1,0,33,0,3,1
defensive,1,2,0,1,4,0
quit,1,2,4,29,25,0
putting,13,12,17,55,27,22
wall,1,0,2,20,8,7
angry,10,3,9,14,12,7
vindictive,1,1,2,1,2,2
argue,2,3,5,8,8,1
inbound,1,0,1,0,5,0
lasted,3,0,2,3,1,0
hasty,1,0,0,0,0,0
doubled,2,2,8,8,6,0
quality,4,9,11,26,9,6
coach,4,0,0,1,2,0
learning,7,1,3,8,3,4
format,2,0,2,13,2,4
answering,10,3,11,26,43,9
forwarding,1,1,6,12,11,12
conventional,1,2,0,52,1,1
installment,1,36,5,27,25,15
cared,3,2,2,3,1,2
intercepted,4,0,1,0,1,1
yielded,2,0,1,5,0,1
dissatisfaction,3,2,4,0,0,1
wired,13,1,5,16,0,0
wage,8,14,11,11,138,15
persisted,1,1,1,0,3,0
participating,1,0,6,6,1,0
goal,3,2,3,22,6,7
fallen,4,4,4,32,6,3
pertinent,5,1,3,6,11,5
fifth,27,18,7,24,1,1
technician,5,0,3,1,5,1
hq,5,0,2,0,0,0
reportedly,2,0,1,6,1,0
balanced,3,1,2,4,5,0
committee,2,0,1,8,0,0
malfunctioning,1,0,1,0,0,0
miserable,1,0,0,1,0,0
actionable,1,0,0,2,2,0
conversion,10,0,7,11,1,1
crear,1,0,0,0,0,0
experiencing,9,4,4,22,1,3
supermarket,3,0,1,0,0,0
chose,13,9,21,33,15,10
instinctively,1,0,0,0,0,0
experienced,15,14,13,28,5,5
crab,1,0,0,0,0,0
verifies,1,1,0,4,5,9
inhibit,1,0,1,0,0,0
dinner,2,1,0,1,4,0
waiter,1,0,0,0,0,0
imagine,6,1,8,22,7,8
resorted,3,3,2,2,2,0
meal,1,0,3,2,0,0
restaurant,4,0,5,0,1,0
ludicrous,2,2,3,4,0,2
comfortable,4,3,4,9,9,2
exclusion,1,0,2,0,1,0
preventative,2,0,0,0,0,1
stopping,3,2,5,11,2,6
escrow,23,2,7,1333,10,6
licenced,1,0,0,1,0,0
fined,5,1,5,26,11,10
mislead,8,10,13,32,5,0
entitles,1,0,2,0,1,1
ty,1,0,0,0,0,0
dedicated,1,0,1,14,0,0
lured,1,1,2,2,0,0
attractive,1,0,4,2,1,0
underway,1,0,0,1,0,0
appearance,8,1,0,4,3,1
downtown,1,0,1,2,0,0
hatred,1,0,0,0,0,1
speaker,6,1,2,6,2,1
enforced,3,2,1,5,6,3
municipal,3,0,0,1,2,0
misrepresented,4,7,8,14,7,1
educational,1,1,0,1,1,0
repetively,1,0,0,0,0,0
badge,2,2,0,0,3,1
wlll,1,0,0,0,0,0
stink,1,0,0,0,0,0
mufg,1,0,0,0,0,0
component,1,0,1,1,0,0
dime,3,4,2,9,4,3
unto,1,0,0,0,1,0
accountability,2,0,4,8,10,5
engaged,5,3,10,17,10,5
fnbo,1,0,0,0,0,0
register,8,6,19,16,12,6
gladly,1,2,4,6,4,0
hire,5,2,9,23,18,12
exposed,7,1,3,2,5,4
vulnerability,2,0,0,1,0,0
inadequate,4,1,3,9,5,2
ic,2,0,0,0,17,0
exposure,2,0,6,3,1,2
consumerfinance,3,0,1,2,1,5
ky,1,1,0,7,6,4
loudly,2,1,0,1,4,0
upheld,4,1,1,2,1,0
flat,5,3,14,5,6,0
category,3,0,15,15,6,6
magazine,1,0,6,1,2,0
recognizable,1,0,1,0,0,0
greeting,5,0,0,3,5,0
correspond,2,1,3,5,5,6
leap,1,0,0,0,0,0
categorized,1,0,1,0,1,0
overpayment,1,11,13,31,4,2
resent,4,1,5,14,0,2
manipulation,2,2,1,2,0,2
helloon,1,0,0,0,0,0
cryptic,2,0,0,1,1,1
communicate,12,7,17,65,39,9
successi,1,0,0,0,0,0
daysi,1,0,0,0,0,0
reasoni,1,0,0,0,0,0
reviewthanks,1,0,0,0,0,0
cu,1,1,0,1,0,2
discrimates,1,1,0,0,0,0
causei,1,0,0,0,0,0
wil,1,0,0,1,1,0
york,22,5,1,34,22,11
leak,1,4,1,17,7,5
flooring,3,0,2,5,1,0
kitchen,7,0,5,19,4,1
leaked,1,0,0,0,1,0
room,5,3,26,28,40,10
floor,5,6,1,13,5,5
installed,7,4,6,11,11,3
downstairs,2,0,0,0,0,0
inspecting,1,0,1,2,1,0
disastrous,1,0,0,1,0,0
expects,1,0,0,4,0,0
owing,4,8,6,16,46,21
repaired,1,2,2,10,5,6
sink,1,0,0,2,1,0
stage,1,0,1,17,4,8
recommend,8,1,3,6,3,1
warn,3,2,4,3,2,0
finished,14,7,10,18,16,7
space,4,3,4,5,7,1
sheriff,10,2,4,73,24,3
literally,6,10,10,20,9,11
baffled,2,1,1,3,1,2
imburse,1,0,0,1,0,0
unwell,1,0,0,0,0,0
eating,2,1,1,1,2,0
starving,1,0,0,0,0,0
roof,1,1,3,44,3,8
beat,2,4,0,7,1,1
crook,6,1,3,10,1,0
flawed,2,0,3,4,2,4
shame,4,4,3,7,2,7
gather,2,3,1,6,7,3
legwork,1,0,0,0,0,0
lax,1,0,0,2,0,0
totalled,3,3,1,0,0,0
manual,3,0,11,4,0,0
prepared,7,6,2,33,13,13
astounded,1,0,2,0,0,1
indignant,1,0,0,0,0,0
periodic,3,0,6,7,1,2
miscellaneous,4,1,3,5,1,4
similarly,1,1,3,2,4,1
confuse,1,0,3,3,2,1
ruling,5,3,3,8,6,2
surviving,1,0,0,3,0,0
spouse,7,4,6,26,42,7
accessible,2,1,1,4,2,2
incase,1,0,0,2,0,1
disallows,1,0,0,0,0,0
leisure,2,0,0,0,0,0
mandate,4,0,0,1,4,4
validate,6,9,12,20,211,143
harassing,6,36,14,41,195,13
xoom,1,0,0,0,0,0
birth,11,4,17,6,43,54
waste,7,3,10,11,6,2
invalid,12,6,9,16,57,32
brake,1,1,0,0,0,0
clarity,1,1,1,6,4,4
bold,1,0,1,3,1,0
couldnt,1,5,7,4,4,4
leaf,2,4,3,10,16,4
train,2,0,13,3,3,1
encouraging,1,0,1,4,0,1
apologetic,3,0,3,2,0,0
revived,4,0,0,0,1,1
happing,1,0,0,0,0,0
mcadoo,1,0,0,0,0,0
pa,5,5,9,16,18,22
prob,3,0,0,1,0,0
dueing,2,0,0,0,0,0
org,1,0,0,2,0,1
field,3,4,5,7,5,7
documented,6,10,10,55,11,15
surrogate,1,0,0,5,0,0
pod,3,0,2,2,0,0
warned,3,0,5,7,11,0
payed,2,7,12,16,18,11
hesitating,1,0,0,0,0,0
immensely,1,0,2,1,1,3
brochure,2,1,2,0,0,0
buying,5,12,11,34,24,18
disputable,1,0,0,0,0,0
raise,7,5,12,34,5,8
elaborate,3,0,2,0,0,0
lift,2,0,1,3,0,11
trial,4,0,4,329,23,11
transunion,2,4,1,1,7,975
stub,2,8,0,66,5,3
harassed,3,12,11,25,78,2
lawsuit,7,8,28,82,142,39
primate,1,0,0,0,0,0
secondary,3,0,3,3,6,0
panel,1,1,0,0,1,0
fcc,2,0,0,1,5,3
committed,14,4,15,34,31,13
perjury,1,0,2,4,1,6
harass,4,12,8,19,85,4
born,3,0,2,3,5,6
systematically,2,0,0,2,0,2
humiliated,3,2,5,2,2,0
optional,1,0,1,4,0,0
rid,3,1,5,18,9,3
uncashed,1,0,0,3,1,0
mitigation,2,0,0,138,1,0
evident,2,0,3,10,2,6
sabotage,2,0,0,8,0,1
laziness,2,0,0,1,0,0
deceitfulness,1,0,0,0,0,0
unsuccessful,6,7,8,24,10,8
incompetence,14,1,7,36,1,4
reassured,2,2,3,7,4,2
okay,9,3,10,14,10,4
embarrassment,3,1,1,4,5,1
bos,5,6,2,17,23,1
directs,2,0,0,2,0,1
confidence,2,0,3,14,0,0
disgusted,3,2,3,3,0,3
losing,6,9,16,67,13,6
speed,3,6,2,4,8,0
cruise,1,0,5,1,3,1
delaware,4,0,13,6,8,0
carnival,1,0,0,0,1,0
master,3,5,27,14,6,4
sailing,1,0,0,0,1,0
historical,1,0,0,3,4,2
fradulent,3,0,4,3,2,3
negligience,1,0,0,0,0,0
bankand,1,0,0,0,0,0
overlooked,5,1,2,2,2,0
tranaction,1,0,0,0,0,0
withdrawalsonmy,1,0,0,0,0,0
wrongly,3,3,2,9,5,5
deligience,1,0,0,0,0,0
diligence,7,2,6,28,4,10
negligient,2,0,0,0,0,0
relying,1,0,1,4,5,1
bummer,1,0,0,0,0,0
inefficient,1,0,0,2,0,0
proceess,1,0,0,0,0,0
impacted,5,5,15,18,14,14
detect,1,0,0,0,0,1
striked,1,0,0,0,0,0
pdf,5,1,11,16,2,11
accouts,1,0,0,0,0,0
rev,1,1,0,2,0,4
prop,1,0,0,0,0,0
renewed,4,2,4,4,8,2
conflict,2,1,1,11,1,3
orally,1,1,0,2,1,3
invest,7,0,0,4,1,0
latter,1,3,2,8,4,6
naturally,2,3,1,3,4,2
embezzlement,3,1,0,0,5,2
conspiring,3,0,0,1,1,2
writ,6,0,0,3,22,2
judgment,6,11,15,52,209,83
pledge,4,0,0,2,4,0
conspired,3,1,1,2,1,0
pretending,2,1,2,3,2,1
served,7,8,12,48,134,14
jurisdiction,2,1,0,8,23,4
technicality,3,0,4,1,0,1
outlined,2,3,7,13,5,7
topic,1,1,2,1,1,0
self,2,2,12,37,12,13
iam,1,0,0,3,3,7
malfunction,5,1,1,0,0,0
studying,2,0,0,1,0,3
transfering,2,0,1,0,0,1
niece,5,0,0,2,2,2
expiring,1,5,16,5,0,0
immigration,2,0,0,2,0,0
blame,8,1,6,12,2,1
